Name,Price,UPC,Link
"Kitov 30% Less Fat Lite Corn Pops, 1/2 oz
Open Product Description",$0.59,00076784004862,https://www.shoprite.com/sm/planning/rsid/218/product/kitov-30-less-fat-lite-corn-pops-12-oz-id-00076784004862
"Tuscanini Unfiltered Apple Cider Vinegar, 16.9 fl oz
Open Product Description",$4.79,00710069312456,https://www.shoprite.com/sm/planning/rsid/218/product/tuscanini-unfiltered-apple-cider-vinegar-169-fl-oz-id-00710069312456
"Oikos Pro Strawberry Flavored Yogurt-Cultured Ultra-Filtered Milk, 5.3 oz
Open Product Description",$2.29,00036632042576,https://www.shoprite.com/sm/planning/rsid/218/product/oikos-pro-strawberry-flavored-yogurtcultured-ultrafiltered-milk-53-oz-id-00036632042576
"Haddar Original Instant Mashed Potatoes, 1.94 oz
Open Product Description",$1.99,00077028280905,https://www.shoprite.com/sm/planning/rsid/218/product/haddar-original-instant-mashed-potatoes-194-oz-id-00077028280905
"Gefen Cinnamon Sticks, 1 oz
Open Product Description",$3.29,00710069128286,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-cinnamon-sticks-1-oz-id-00710069128286
"Kitov Corn Pops, 1/2 oz
Open Product Description",$0.59,00076784004107,https://www.shoprite.com/sm/planning/rsid/218/product/kitov-corn-pops-12-oz-id-00076784004107
"Gefen Oriental-Style Vegetable Flavor Ramen Noodles, 3 oz
Open Product Description",$0.99,00710069601017,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-orientalstyle-vegetable-flavor-ramen-noodles-3-oz-id-00710069601017
"Gefen Oriental Style Imitation Chicken Flavor Ramen Noodles, 3 oz
Open Product Description",$0.99,00710069601000,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-oriental-style-imitation-chicken-flavor-ramen-noodles-3-oz-id-00710069601000
"Golden Fluff Light Popcorn, 5/8 oz
Open Product Description",$0.69,00030047300054,https://www.shoprite.com/sm/planning/rsid/218/product/golden-fluff-light-popcorn-58-oz-id-00030047300054
"Manischewitz Magic Max's Milk Chocolate Coins, 0.53 oz
Open Product Description",$0.69,00072700200394,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-magic-maxs-milk-chocolate-coins-053-oz-id-00072700200394
"Tradition Imitation Chicken Flavor Instant Noodle Soup, 2.29 oz
Open Product Description",$1.89,00735375601254,https://www.shoprite.com/sm/planning/rsid/218/product/tradition-imitation-chicken-flavor-instant-noodle-soup-229-oz-id-00735375601254
"Manischewitz Minestrone Soup Mix, 6 oz
Open Product Description",$2.79,00072700102049,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-minestrone-soup-mix-6-oz-id-00072700102049
"Gabila's Brooklyn's Original Potato Knishes, 4 count, 16 oz
Open Product Description",$4.99,00744548112367,https://www.shoprite.com/sm/planning/rsid/218/product/gabilas-brooklyns-original-potato-knishes-4-count-16-oz-id-00744548112367
"Joray Watermelon Fruit Roll, .75 oz
Open Product Description",$0.89,00051063800083,https://www.shoprite.com/sm/planning/rsid/218/product/joray-watermelon-fruit-roll-75-oz-id-00051063800083
"Golden Blueberry & Cheese Filled Crepe Blintzes, 6 count, 13 oz
Open Product Description",$6.49,00041641101169,https://www.shoprite.com/sm/planning/rsid/218/product/golden-blueberry-&-cheese-filled-crepe-blintzes-6-count-13-oz-id-00041641101169
"Haddar Wafers - Chocolate Covered, 28 oz
Open Product Description",$7.89,00077028106045,https://www.shoprite.com/sm/planning/rsid/218/product/haddar-wafers-chocolate-covered-28-oz-id-00077028106045
"Paskesz Dreidel Treats, 1.07 oz
Open Product Description",$1.39,00025675750128,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-dreidel-treats-107-oz-id-00025675750128
"Tabatchnick Garden Fresh Vegetable Broth, 32 fl oz
Open Product Description",$3.29,00071262041865,https://www.shoprite.com/sm/planning/rsid/218/product/tabatchnick-garden-fresh-vegetable-broth-32-fl-oz-id-00071262041865
"Lieber's Corn Chips, 1.75 oz
Open Product Description",$0.69,00043427181044,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-corn-chips-175-oz-id-00043427181044
"Gefen Honey, 32 oz
Open Product Description",$12.49,00710069029101,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-honey-32-oz-id-00710069029101
"Joyva Chocolate Covered Marshmallow Twists, 9 oz
Open Product Description",$6.99,00041795000776,https://www.shoprite.com/sm/planning/rsid/218/product/joyva-chocolate-covered-marshmallow-twists-9-oz-id-00041795000776
"Paskesz Premium Belgian Dark Chocolate Coins, 20 count, 3.5 oz
Open Product Description",$4.49,00025675750951,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-premium-belgian-dark-chocolate-coins-20-count-35-oz-id-00025675750951
"Wein's Egg Challah, 15 oz
Open Product Description",$4.49,00760672123437,https://www.shoprite.com/sm/planning/rsid/218/product/weins-egg-challah-15-oz-id-00760672123437
"Osem Bamba Peanut Butter Puffs, 1 oz
Open Product Description",$1.19,00077544806207,https://www.shoprite.com/sm/planning/rsid/218/product/osem-bamba-peanut-butter-puffs-1-oz-id-00077544806207
"Paskesz Maxi Soup Mandel Croutons, 8.8 oz
Open Product Description",$7.49,00025675842007,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-maxi-soup-mandel-croutons-88-oz-id-00025675842007
"Joray Raspberry Fruit Roll, 75 oz
Open Product Description",$0.89,00051063800038,https://www.shoprite.com/sm/planning/rsid/218/product/joray-raspberry-fruit-roll-75-oz-id-00051063800038
"Kedem 100% Pure Grape Juice, 64 fl oz
Open Product Description",$6.29,00073490128271,https://www.shoprite.com/sm/planning/rsid/218/product/kedem-100-pure-grape-juice-64-fl-oz-id-00073490128271
"Lieber's Thin Rice Cakes with Sea Salt, 18 count, 3.1 oz
Open Product Description",$1.99,00043427000116,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-thin-rice-cakes-with-sea-salt-18-count-31-oz-id-00043427000116
"Yehuda Whitefish & Pike Gefilte Fish, 24 oz
Open Product Description",$8.29,00073490132964,https://www.shoprite.com/sm/planning/rsid/218/product/yehuda-whitefish-&-pike-gefilte-fish-24-oz-id-00073490132964
"Paskesz Potato Stix - Smoke BBQ, 4 oz
Open Product Description",$0.75,00030047533018,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-potato-stix-smoke-bbq-4-oz-id-00030047533018
"Dagim Fancy Albacore Solid White Tuna in Water, 6 oz
Open Product Description",$4.39,00046676182121,https://www.shoprite.com/sm/planning/rsid/218/product/dagim-fancy-albacore-solid-white-tuna-in-water-6-oz-id-00046676182121
"Paskesz Wild Strawberry Fruit Snacks, .8 oz, 8 count
Open Product Description",$5.49,00025675125407,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-wild-strawberry-fruit-snacks-8-oz-8-count-id-00025675125407
"Manischewitz Gluten Free Pizza, 14.1 oz
Open Product Description",$15.89,00072700360050,https://www.shoprite.com/sm/planning/rsid/218/product/manischewitz-gluten-free-pizza-141-oz-id-00072700360050
"Gefen Extra Virgin Olive Oil, 67 fl oz
Open Product Description",$47.99,00710069307384,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-extra-virgin-olive-oil-67-fl-oz-id-00710069307384
"Gefen Imitation Distilled Vinegar, 32 fl oz
Open Product Description",$2.49,00710069207059,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-imitation-distilled-vinegar-32-fl-oz-id-00710069207059
"Tuscanini Tomato Paste, 7.05 oz
Open Product Description",$2.49,00710069312111,https://www.shoprite.com/sm/planning/rsid/218/product/tuscanini-tomato-paste-705-oz-id-00710069312111
"Gefen Whole Potatoes, 15 oz
Open Product Description",$2.19,00710069021907,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-whole-potatoes-15-oz-id-00710069021907
"Kvuzat Yavne Sliced Green Olives Manzanillo, 19 oz
Open Product Description",$4.79,00730127100139,https://www.shoprite.com/sm/planning/rsid/218/product/kvuzat-yavne-sliced-green-olives-manzanillo-19-oz-id-00730127100139
"Gefen Instant Noodle Soup - Chicken Flavor, 2.3 oz
Open Product Description",$1.99,00710069061323,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-instant-noodle-soup-chicken-flavor-23-oz-id-00710069061323
"Paskesz Flavored Mini Marshmallows, 8 oz
Open Product Description",$4.49,00025675124790,https://www.shoprite.com/sm/planning/rsid/218/product/paskesz-flavored-mini-marshmallows-8-oz-id-00025675124790
"Lieber's Mini Chocolate Chips, 9 oz
Open Product Description",$7.99,00043427000031,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-mini-chocolate-chips-9-oz-id-00043427000031
"Doritos Spicy Sour Flavored Tortilla Chips, 2.5 oz
Open Product Description",$1.59,00815871013833,https://www.shoprite.com/sm/planning/rsid/218/product/doritos-spicy-sour-flavored-tortilla-chips-25-oz-id-00815871013833
"Gefen Traditional Unsalted Crispy Matzo, 16 oz
Open Product Description",$4.09,00710069009004,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-traditional-unsalted-crispy-matzo-16-oz-id-00710069009004
"Gefen Chunk Light Tuna, 3 oz
Open Product Description",$3.99,00710069222311,https://www.shoprite.com/sm/planning/rsid/218/product/gefen-chunk-light-tuna-3-oz-id-00710069222311
"Kedem Moscat Grape Juice, 22 fl oz
Open Product Description",$3.99,00073490000010,https://www.shoprite.com/sm/planning/rsid/218/product/kedem-moscat-grape-juice-22-fl-oz-id-00073490000010
"Kontos Dolmades, 14 oz
Open Product Description",$3.79,00032394700259,https://www.shoprite.com/sm/planning/rsid/218/product/kontos-dolmades-14-oz-id-00032394700259
"Lieber's Unsweetened Squeezy Applesauce, 3.15 oz, 4 count
Open Product Description",$3.79,00043427222464,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-unsweetened-squeezy-applesauce-315-oz-4-count-id-00043427222464
"Glicks Teriyaki Sauce, 10 fl oz
Open Product Description",$4.19,00840762007523,https://www.shoprite.com/sm/planning/rsid/218/product/glicks-teriyaki-sauce-10-fl-oz-id-00840762007523
"Joray Apricot Fruit Roll, 75 oz
Open Product Description",$0.89,00051063800014,https://www.shoprite.com/sm/planning/rsid/218/product/joray-apricot-fruit-roll-75-oz-id-00051063800014
"Joyva Chocolate Covered Cherry Flavored Marshmallows, 9 ozs
Open Product Description",$6.99,00041795000752,https://www.shoprite.com/sm/planning/rsid/218/product/joyva-chocolate-covered-cherry-flavored-marshmallows-9-ozs-id-00041795000752
"Aufschnitt Original Beef & Chicken Stick, 1 oz
Open Product Description",$3.29,00860713000144,https://www.shoprite.com/sm/planning/rsid/218/product/aufschnitt-original-beef-&-chicken-stick-1-oz-id-00860713000144
"Shraga Neronim Shabbos Candles, 72 count, 23 ounce
Open Product Description",$12.49,00044164102385,https://www.shoprite.com/sm/planning/rsid/218/product/shraga-neronim-shabbos-candles-72-count-23-ounce-id-00044164102385
"Lieber's Latkes Potato Pancake Mix, 6 oz
Open Product Description",$3.19,00043427195386,https://www.shoprite.com/sm/planning/rsid/218/product/liebers-latkes-potato-pancake-mix-6-oz-id-00043427195386
"Sea Castle Roasted Sea Salt Seaweed Snacks, 3 count, 0.54 oz
Open Product Description",$6.79,00040822043236,https://www.shoprite.com/sm/planning/rsid/218/product/sea-castle-roasted-sea-salt-seaweed-snacks-3-count-054-oz-id-00040822043236
"Klik Kariot Pillows, 2.64 oz
Open Product Description",$2.99,00013495113582,https://www.shoprite.com/sm/planning/rsid/218/product/klik-kariot-pillows-264-oz-id-00013495113582
"Wissotzky Tea Earl Grey Black Tea Bags, 25 count, 1.32 oz
Open Product Description",$3.29,00603741000072,https://www.shoprite.com/sm/planning/rsid/218/product/wissotzky-tea-earl-grey-black-tea-bags-25-count-132-oz-id-00603741000072
"Wissotzky Tea Magic Garden Pomegranate Orchard Fruit & Herbal Teas, 20 count, 1.76 oz
Open Product Description",$3.29,00603741001130,https://www.shoprite.com/sm/planning/rsid/218/product/wissotzky-tea-magic-garden-pomegranate-orchard-fruit-&-herbal-teas-20-count-176-oz-id-00603741001130
"Mrs. Adler's Old Jerusalem Gefilte Fish, 24 oz
Open Product Description",$6.49,00071956210270,https://www.shoprite.com/sm/planning/rsid/218/product/mrs-adlers-old-jerusalem-gefilte-fish-24-oz-id-00071956210270
"Dagim Chunk Light Tuna In Water, 6 oz
Open Product Description",$2.79,00046676132522,https://www.shoprite.com/sm/planning/rsid/218/product/dagim-chunk-light-tuna-in-water-6-oz-id-00046676132522
