Link,Name,Price,UPC,Model Number
https://www.bjs.com/product/wellsley-farms-spring-yellow-and-blue-frosted-cookies-18-ct/3000000000004358249,"Wellsley Farms Spring Yellow and Blue Frosted Cookies, 18 ct.",5.99,10770981626045,
https://www.bjs.com/product/wellsley-farms-canola-oil-35-lbs/3000000000000199911,"Wellsley Farms Canola Oil, 35 lbs.",40.99,888670007655,
https://www.bjs.com/product/wellsley-farms-soybean-oil-35-lbs/3000000000000199921,"Wellsley Farms Soybean Oil, 35 lbs.",49.99,888670007662,
https://www.bjs.com/product/wellsley-farms-oatmeal-raisin-cookies-6-ct37-oz/3000000000000563628,"Wellsley Farms Oatmeal Raisin Cookies, 6 ct./37 oz.",9.99,201016000000,
https://www.bjs.com/product/wellsley-farms-chocolate-chunk-cookies-37-oz/3000000000000563630,"Wellsley Farms Chocolate Chunk Cookies, 37 oz.",9.99,201074000000,
https://www.bjs.com/product/wellsley-farms-combo-cookies-24-ct15-oz/3000000000000563632,"Wellsley Farms Combo Cookies, 24 ct./1.5 oz.",9.99,Not Available,
https://www.bjs.com/product/wellsley-farms-brownie-cookie-platter-119-oz/3000000000000578130,"Wellsley Farms Brownie Cookie Platter, 119 oz.",22.99,201351000000,
https://www.bjs.com/product/wellsley-farms-steak-seasoning-grinder-8-oz/3000000000000776612,"Wellsley Farms Steak Seasoning Grinder, 8 oz.",5.99,888670046548,
https://www.bjs.com/product/wellsley-farms-organic-extra-virgin-coconut-oil-54-oz/3000000000001673309,"Wellsley Farms Organic Extra Virgin Coconut Oil, 54 oz.",16.99,888670077726,
https://www.bjs.com/product/wellsley-farms-organic-naturally-refined-coconut-oil-56-oz/3000000000001673311,"Wellsley Farms Organic Naturally Refined Coconut Oil, 56 oz.",11.29,888670077733,
https://www.bjs.com/product/wellsley-farms-cooking-spray-2-pk17-oz/3000000000002386783,"Wellsley Farms Cooking Spray, 2 pk./17 oz.",8.99,888670098547,
https://www.bjs.com/product/wellsley-farms-minced-garlic-with-water-2-lbs/3000000000002732793,"Wellsley Farms Minced Garlic with Water, 2 lbs.",4.99,Not Available,
https://www.bjs.com/product/wellsley-farms-granulated-garlic-221-oz/3000000000002732795,"Wellsley Farms Granulated Garlic, 22.1 oz.",7.49,888670105788,
