Link,Name,Price,UPC,Model Number
https://www.bjs.com/product/wellsley-farms-apple-juice-2-pk96-oz/3000000000001056594,"Wellsley Farms Apple Juice, 2 pk./96 oz.",6.79,888670059647,
https://www.bjs.com/product/wellsley-farms-organic-orange-peach-mango-juice-blend-1-gal/3000000000004366755,"Wellsley Farms Organic Orange Peach Mango Juice Blend, 1 gal.",7.99,888670149881,
https://www.bjs.com/product/wellsley-farms-organic-honeycrisp-apple-juice-2-pk96-oz/3000000000000286083,"Wellsley Farms Organic Honeycrisp Apple Juice, 2 pk./96 oz.",8.99,888670026168,
https://www.bjs.com/product/wellsley-farms-organic-mango-passion-fruit-juice-2-pk96-fl-oz/3000000000000475114,"Wellsley Farms Organic Mango Passion Fruit Juice, 2 pk./96 fl. oz.",8.49,888670032244,
https://www.bjs.com/product/wellsley-farms-organic-lemonade-2-pk96-oz/3000000000000562590,"Wellsley Farms Organic Lemonade, 2 pk./96 oz.",9.99,888670037843,
https://www.bjs.com/product/wellsley-farms-tropical-punch-juice-blend-2-pk96-oz/3000000000003089771,"Wellsley Farms Tropical Punch Juice Blend, 2 pk./96 oz.",Member Only,888670111550,
https://www.bjs.com/product/honest-kids-juice-boxes-variety-pack-40-ct/3000000000003415751,"Honest Kids Juice Boxes Variety Pack, 40 ct.",17.49,00657622011862,
https://www.bjs.com/product/ocean-spray-flannel-season-faves-juice-drinks-18-pk10-oz/3000000000004916747,"Ocean Spray Flannel Season Faves Juice Drinks, 18 pk./10 oz.",12.49,031200024053,
https://www.bjs.com/product/ocean-spray-cran-mango-juice-drink-2-pk96-oz/3000000000004855749,"Ocean Spray Cran Mango Juice Drink, 2 pk./96 oz.",7.99,031200023698,
https://www.bjs.com/product/tropicana-pure-premium-orange-juice-1-gal/3000000000003807261,"Tropicana Pure Premium Orange Juice, 1 gal.",7.59,048500021699,
https://www.bjs.com/product/simply-orange-pulp-free-orange-juice-2-pk52-fl-oz/3000000000003807263,"Simply Orange Pulp-Free Orange Juice, 2 pk./52 fl. oz.",7.29,025000100383,
https://www.bjs.com/product/ocean-spray-cranberry-juice-cocktail-2-pk96-oz/3000000000000141547,"Ocean Spray Cranberry Juice Cocktail, 2 pk./96 oz.",7.99,031200201065,
https://www.bjs.com/product/motts-100-original-apple-juice-2-pk1-gal/281241,"Mott's 100% Original Apple Juice, 2 pk./1 gal.",10.79,014800319521,
